๏ ฝ่ายฝรั่งลังกาพวกข้าศึก	ล้วนเหิมฮึกห้าวหาญชาญสนาม
แล้วซ้ำซัดรัดพระชงฆ์พอองค์ทรุด	สินสมุทรโผนมาช่วยอาทัน
ถูกกวินผินผัดสลัดหลีก	มันทิ้งอีกโอบกายสายกระสัน
สะบัดขาดผาดโผนโจนประจัญ	เอาขวานฟันเจ้ากวินสิ้นชีวา ฯ
๏ ฝ่ายองค์ท้าวเจ้าละเมดวิเศษสุด	ถืออาวุธกายสิทธิ์ฤทธิ์หนักหนา
ชื่อภุขันฟันใครเหมือนไฟฟ้า	มรณาเนื้อเผือดเลือดไม่มี
ครั้นเห็นท้าวเจ้ากวินสิ้นชีวิต	เข้าต่อฤทธิ์รับรบไม่หลบหนี
สินสมุทรยุดพลาดมันฟาดตี	ถูกอินทรีย์ซวนซบสลบไป ฯ
๏ ศรีสุวรรณกับหลานทะยานยุทธ์	ฤทธิรุทรรบกันเสียงหวั่นไหว
เหล็กกระบองต้องภุขันสะบั้นไป	พระตกใจโจนหนีมันตีตาม
สุดสาครกรทรงไม้เท้าโถม	เข้ารุกโรมรำคว้างอยู่กลางสนาม
เหล็กภุขันฟันใครเป็นไฟวาม	เหตุด้วยความรู้ฤทธิ์พระสิทธา
พอได้ทีตีท้าวเจ้าละเมด	ถูกพระเกศขาดดิ้นสิ้นสังขาร์
เหล็กภุขันนั้นก็เก็บเหน็บเอามา	พอเชษฐาฟื้นกายค่อยคลายใจ ฯ
๏ ฝ่ายองค์ท้าวจีนตั๋งนั้นฝังเพชร	ไม่ขามเข็ดคงกระพันฟันไม่ไหว
ทั้งสองมือถือทุรันน้ำมันไฟ	ฟาดผู้ใดไฟพิษติดเต็มกาย
ควบอาชาม้าทรงเข้ายงยุทธ์	สินสมุทรต่อตีไม่หนีหาย
ชิงทุรันมันฟาดปราดประกาย	เป็นเพลิงร้ายพราวทั่วทั้งตัวตน
สินสมุทรหยุดลูบยิ่งวูบวาบ	เป็นเปลวปลาบปวดแปลบแสบเส้นขน
ติดแขนขาผ้าเสื้อจนเหลือทน	เหมือนเพลิงลนล้มซบสลบไป
ท้าวทมิฬจีนตั๋งขึ้นหลังม้า	พอสุดสาครถึงทะลึ่งไล่
กระโจนจับกลับพลาดมันฟาดไฟ	ถูกกายไหม้ม้วนซบสลบลง
มันขึ้นม้าท้าทายเหวยนายทัพ	จงเร่งรับแพ้ตามความประสงค์
ศรีสุวรรณหันกระบองที่รองทรง	เข้ารณรงค์รบท้าวเจ้าจีนตั๋ง
ได้ท่วงทีตีอกพลัดตกม้า	ลุกถลาไล่รบตลบหลัง
จะฟาดไฟไม่ต้องกระบองบัง	พระตีดังผลุงผลุงกระทุ้งแทง
ด้วยฤทธิ์เพชรเม็ดใหญ่ไม่ไหวหวาด	มันกลับฟาดไฟพรายกระจายแสง
ถูกนิ้วมือถือกระบองก็พองแดง	พระอ่อนแรงรอรบถอยหลบมา ฯ
๏ พอพี่น้องสองกษัตริย์สกัดกั้น	ยิงเกาทัณฑ์ถูกกระดอนดังก้อนผา
มันฟาดไฟไม่ต้องทั้งสองรา	ด้วยฤทธิ์แก้วแววตารักษากาย
ถูกแต่ม้าผ่าโผนโจนสะบัด	กุมารพลัดแพลงตกผงกหงาย
กุมารีพี่คล่องกว่าน้องชาย	กระหวัดสายศรลั่นไปทันที
จำเพาะถูกลูกตาข้างขวาขวับ	ตกม้าผลับโผนโลดกระโดดหนี
พอโพล้เพล้เวลาจะราตรี	จีนตั๋งตีกลองสัญญาเป็นหย่าทัพ ฯ
๏ ฝ่ายพวกบ่าวเจ้าตายพอวายรบ	รับแต่ศพใส่กำปั่นพากันกลับ
แต่จีนตั๋งสั่งให้ไปกำชับ	บรรดาทัพอยู่อย่าเพ่อราวี
เรารบค้างร้างไว้ยังไม่ทิ้ง	ใครอย่าชิงรบพุ่งเอากรุงศรี
แล้วปวดตามาในค่ายไม่สมประดี	ให้เห็นผีเสื้อสางปะรางควาน
จีนแสเข้าเป่ายานัยน์ตาแตก	น้ำมันแทรกใส่แก้แผลสมาน
ทั้งห้าเมืองเนืองมาถามอาการ	พยาบาลบอกยารักษากัน ฯ
๏ สงสารพระอภัยฤทัยระทด	กลัวโอรสสองราจะอาสัญ
ไม่เห็นฟื้นขึ้นบ้างเหมือนกลางวัน	พระทรงกันแสงประคองสองโอรส
ศรีสุวรรณนั้นก็พองทั้งสองหัตถ์	สองกษัตริย์สุริย์วงศ์ทรงกำสรด
เร่งให้หามาออกสอทั้งหมอมด	บางพวกบดยาชโลมโซมน้ำมัน
ถึงพรมพรำน้ำฟักไม่ยักฟื้น	จนเที่ยงคืนฆ้องตรวจกันกวดขัน
ขึงผ้าขาวราวกับค่ายเป็นหลายชั้น	กำกับกันตีฆ้องกองอัคคี
ตำรวจตั้งหลังคาเอาผ้าขึง	เปรียบเหมือนหนึ่งพลับพลาหลังคาสี
ปูผ้าขาวราวกับเสื่อล้วนเนื้อดี	พวกเสนีนายหมวดตรวจตระเวน ฯ
๏ สองกษัตริย์ขัตติย์วงศ์ทรงกันแสง	จนโรยแรงเรอลมดมพิมเสน
ด้วยหาหมดมดหมอในบริเวณ	เห็นสิ้นเกณฑ์แก้ไขก็ไม่ฟื้น
พระประคองสองบุตรสุดที่รัก	ขึ้นวางตักข้างละองค์ทรงสะอื้น
โอ้เย็นฉ่ำน้ำค้างในกลางคืน	เจ้าไม่ฟื้นขึ้นมาสั่งพ่อบ้างเลย
ประหลาดเหลือเนื้อละมุนยังอุ่นอ่อน	สินสมุทรสุดสาครของพ่อเอ๋ย
เคยกลับเป็นก็ไม่เห็นเหมือนเช่นเคย	กระไรเลยแน่นิ่งไม่ติงกาย
พระครวญคร่ำร่ำรักโอรสราช	ใจจะขาดคิดไปก็ใจหาย
พระชลนัยน์ไหลหลั่งลงพรั่งพราย	ทั้งขวาซ้ายกอดศพสลบลง ฯ
๏ ศรีสุวรรณกันแสงสงสารพี่	กุมารีร้องเรียกจนเสียงหลง
ทั้งน้องชายหมายหมดว่าปลดปลง	ต่างกอดองค์พี่ยาสุดสาคร
กนิษฐาว่าพระพี่มาหนีน้อง	ใครจะครองคุ้มขังช่วยสั่งสอน
ยังแต่น้องสองราอนาทร	นางทุกข์ร้อนร่ำว่าน้ำตากระเด็น
จะกลับเล่าเปล่าจิตคิดถึงพี่	อยู่ที่นี่พ่อแม่แลไม่เห็น
โอ้แต่นี้พี่เจ้าทุกเช้าเย็น	มิได้เล่นกันกับน้องทั้งสองรา
เรียกเท่าไรไม่ฟื้นสะอื้นอั้น	ต่างปลุกสั่นโศกีพระพี่จ๋า
ยิ่งเรียกนิ่งยิ่งสะอื้นกลืนน้ำตา	กุมาราแรงน้อยล้มผอยไป
พวกข้าเฝ้าเข้าประคองสองกษัตริย์	ไม่ออกอรรถเซ็งแซ่เข้าแก้ไข
บ้างนวดเคล้นเส้นพระศอสองหน่อไท	ก็กลับได้สมประดีค่อยมีมา ฯ
๏ ฝ่ายฝรั่งตั้งรายอยู่หลายค่าย	วิสัยชายชิงชู้คู่อิจฉา
ต่างไต่ถามไพร่ทุรันจำนรรจา	ครั้นรู้ยายามดึกนั่งตรึกความ
เจ้าจีนตั๋งครั้งนี้ออกตีทัพ	ชาวเมืองรับพ่ายพังไปทั้งสาม
เขามีชัยได้เมียเราเสียงาม	จึงคิดความยอกย้อนซอกซ้อนกล
ค่อยลอบใช้ให้บ่าวบอกชาวทัพ	ว่าจะดับพิษไฟได้แต่ฝน
ชาวบุรีดีใจทั้งไพร่พล	แจ้งยุบลบอกข่าวทูลเจ้านาย
พระอภัยให้เที่ยวหาเป็นหน้าแล้ง	ทุกหนแห่งมิได้สมอารมณ์หมาย
พอนึกได้ให้หาพราหมณ์ทั้งสามนาย	พี่เลี้ยงฝ่ายอนุชาชื่อสานน
ทำพิธีพลีบวงสรวงพระเวท	ศักดาเดชดินฟ้าโกลาหล
พิรุณร้องก้องกระหึ่มครึ้มคำรน	เป็นสายฝนฟุ้งฟ้าลงมาดิน
ให้ประคองสององค์ออกสรงน้ำ	ค่อยชื่นฉ่ำชีวาตม์ด้วยธาตุสินธุ์
ถอนน้ำมันอันเป็นกรดหมดมลทิน	หน่อนรินทร์รู้สึกลุกคึกคัก
คิดว่าสู้อยู่กับแขกจะแหวกออก	พอเขาบอกมองดูจึงรู้จัก
ฝ่ายบิดาพาบุตรมาหยุดพัก	ที่สำนักกลางทัพเหมือนพลับพลา
แล้วเล่าความตามรบสลบหลับ	พลางกำชับลูกรักนั้นหนักหนา
ชาติฝรั่งอังกฤษเป็นอิสรา	มีศัสตราสำหรับตัวทั่วทุกคน
ถึงชนะจะจับจงยับยั้ง	คอยระวังสังเกตดูเหตุผล
โอรสรับกลับนึกรู้สึกสกนธ์	ทั้งสองคนแค้นใจจะใคร่รบ
จึงทูลว่าข้าขอตีแต่พี่น้อง	ให้พวกพ้องพลทมิฬตื่นตลบ
พระบิดาว่าฝรั่งตั้งสมทบ	จะรุมรบเราน้อยถอยกำลัง
คอยรับแต่แม่ทัพให้ยับย่อย	พลก็พลอยพ่ายแพ้เหมือนแต่หลัง
อย่าอาจหาญการณรงค์จงรอรั้ง	พระสอนสั่งสิ้นเสร็จด้วยเมตตา ฯ
๏ ฝ่ายสานนมนต์เวทวิเศษชะงัด	ได้ฟังตรัสกราบคำนับรับอาสา
จะเรียกฝนปนลมระดมมา	ให้พวกข้าศึกหนาวทั้งบ่าวนาย
เราแยกยกวกอ้อมออกพร้อมพรัก	เข้าโหมหักเห็นจะได้ดังใจหมาย
แม้นละไว้ไม่กำจัดให้พลัดพราย	จะมากมายมาสมทบเฝ้ารบกวน
พระฟังความพราหมณ์คิดด้วยวิทย์เวท	อาศัยเหตุฝนลมระดมหวน
จึงตรัสตอบขอบจิตว่าคิดควร	กระนั้นส่วนตัวท่านจงอ่านมนต์
เราจะขับทัพใหญ่ออกไล่ซ้ำ	เห็นเพลี่ยงพล้ำพลอยระดมด้วยลมฝน
แล้วสั่งฝ่ายนายหมวดเร่งตรวจพล	จะปลอมปล้นค่ายแขกให้แตกแตน
ทั้งโยธาการะเวกเมืองรมจักร	เสียงคึกคักคั่งคับอยู่นับแสน
บ้างถือปืนยืนสะพรั่งทั้งโล่แพน	ด้วยคิดแค้นแขกฝรั่งทั้งแผ่นดิน ฯ
๏ ฝ่ายมหาสานนพระมนต์ขลัง	เรียกกำลังลมประสาททั้งธาตุสินธุ์
วลาหกตกใจไขเมฆิน	เป็นวารินร่วงโรยอยู่โกรยกราว
ทั้งเทวามารุตก็ผุดพุ่ง	เป็นควันพลุ่งโพลงสว่างขึ้นกลางหาว
เสียงครึกครื้นพื้นแผ่นดินทั้งแดนดาว	อากาศราวกับจะพังกำลังมนต์ ฯ
๏ ฝ่ายทมิฬจีนตั๋งฝรั่งร้าย	เห็นวุ่นวายเวหาเป็นฟ้าฝน
ทั้งหนาวเหน็บเจ็บตาอุตส่าห์ทน	ออกตรวจพลถ้วนทั่วทุกตัวนาย
จะก่อไฟไม่ติดผิดประหลาด	ทั้งฝนสาดลูกเห็บเจ็บใจหาย
ถูกพลับพลาฝรั่งพังทลาย	ทั้งขอบค่ายลู่ล้มด้วยลมแรง ฯ
๏ พระอภัยได้ทีให้ตีฆ้อง	แล้วยกกองทัพทหารชาญกำแหง
เข้าหักโหมโรมรันไล่ฟันแทง	บ้างน้าวแผลงเกาทัณฑ์บ้างลั่นปืน
พลฝรั่งอังกฤษไม่คิดรบ	แตกตลบลงชลาไม่ฝ่าฝืน
บ้างล้มตายวายวางในกลางคืน	บ้างวิ่งตื่นแตกป่วนอยู่รวนเร
บ้างลงเรือเหลือตายทั้งนายไพร่	พายุใหญ่ปั่นป่วนให้หวนเห
บ้างแตกล่มลมพัดเที่ยวซัดเซ	จนถึงเวลารุ่งรบพุ่งกัน ฯ
๏ พระอภัยได้ชนะเพราะพระเวท	แสนวิเศษสานนคนขยัน
ฝรั่งแขกแตกตายเสียหลายพัน	ที่เหลือนั้นจับได้ทั้งไพร่นาย
ให้เลิกทัพกลับหลังเข้าวังหลวง	ค่อยสร่างทรวงเสร็จศึกเหมือนนึกหมาย
เสนานายใหญ่น้อยพลอยสบาย	ทั้งหญิงชายชาวบุรินทร์ก็ยินดี ฯ
